URUN_KODU;TARIH;MIKTAR
URUN-19;2018-07-01;7096
URUN-19;2018-08-01;3262
URUN-19;2018-09-01;2028
URUN-19;2018-10-01;1926
URUN-19;2018-11-01;2184
URUN-19;2018-12-01;10
URUN-20;2015-03-01;18734
URUN-20;2015-04-01;7328
URUN-20;2015-05-01;5959
URUN-20;2015-06-01;4355
URUN-20;2015-07-01;7723
URUN-20;2015-08-01;8639
URUN-20;2015-09-01;6387
URUN-20;2015-10-01;5286
URUN-20;2015-11-01;2500
URUN-20;2015-12-01;9258
URUN-20;2016-01-01;10271
URUN-20;2016-02-01;7542
URUN-20;2016-03-01;18345
URUN-20;2016-04-01;14067
URUN-20;2016-05-01;2248
URUN-20;2016-06-01;6458
URUN-20;2016-07-01;10917
URUN-20;2016-08-01;7004
URUN-20;2016-09-01;11104
URUN-20;2016-10-01;4355
URUN-20;2016-11-01;4848
URUN-20;2016-12-01;4408
URUN-20;2017-01-01;2520
URUN-20;2017-02-01;3185
URUN-20;2017-03-01;4417
URUN-20;2017-04-01;3314
URUN-20;2017-05-01;1284
URUN-20;2017-06-01;3178
URUN-20;2017-07-01;3682
URUN-20;2017-08-01;3541
URUN-20;2017-09-01;3976
URUN-20;2017-10-01;2944
URUN-20;2017-11-01;3240
URUN-20;2017-12-01;3020
URUN-20;2018-01-01;4044
URUN-20;2018-02-01;3412
URUN-20;2018-03-01;3952
URUN-20;2018-04-01;4512
URUN-20;2018-05-01;5606
URUN-20;2018-06-01;3384
URUN-20;2018-07-01;3740
URUN-20;2018-08-01;1754
URUN-20;2018-09-01;1682
URUN-20;2018-10-01;2225
URUN-20;2018-11-01;330
URUN-20;2018-12-01;499
URUN-21;2017-02-01;252
URUN-21;2017-03-01;24
URUN-21;2017-04-01;132
URUN-21;2017-05-01;792
URUN-21;2017-06-01;348
URUN-21;2017-07-01;0
URUN-21;2017-08-01;0
URUN-21;2017-09-01;372
URUN-21;2017-10-01;96
URUN-21;2017-11-01;672
URUN-21;2017-12-01;492
URUN-21;2018-01-01;468
URUN-21;2018-02-01;296
URUN-21;2018-03-01;636
URUN-21;2018-04-01;1914
URUN-21;2018-05-01;1566
URUN-21;2018-06-01;735
URUN-21;2018-07-01;493
URUN-21;2018-08-01;1383
URUN-21;2018-09-01;1024
URUN-21;2018-10-01;1372
URUN-21;2018-11-01;69
URUN-21;2018-12-01;310
URUN-22;2017-02-01;24
URUN-22;2017-03-01;116
URUN-22;2017-04-01;292
URUN-22;2017-05-01;1436
URUN-22;2017-06-01;296
URUN-22;2017-07-01;188
